Time,Location,AQI
2020-07-20T08:30:51.922Z,Ap Xuan Thoi Dong 2,62
2020-07-20T08:40:52.251Z,Ap Xuan Thoi Dong 2,62
2020-07-20T08:50:52.174Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:00:51.784Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:10:52.858Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:20:51.812Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:30:51.969Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:40:51.771Z,Ap Xuan Thoi Dong 2,62
2020-07-20T09:50:52.084Z,Ap Xuan Thoi Dong 2,62
2020-07-20T10:00:51.786Z,Ap Xuan Thoi Dong 2,62
2020-07-20T10:10:51.884Z,Ap Xuan Thoi Dong 2,100
2020-07-20T10:20:51.815Z,Ap Xuan Thoi Dong 2,100
2020-07-20T10:30:51.986Z,Ap Xuan Thoi Dong 2,100
2020-07-20T10:40:51.786Z,Ap Xuan Thoi Dong 2,100
2020-07-20T10:50:51.875Z,Ap Xuan Thoi Dong 2,100
2020-07-20T11:00:51.879Z,Ap Xuan Thoi Dong 2,100
2020-07-20T11:10:52.076Z,Ap Xuan Thoi Dong 2,133
2020-07-20T11:20:51.811Z,Ap Xuan Thoi Dong 2,133
2020-07-20T11:30:51.922Z,Ap Xuan Thoi Dong 2,133
2020-07-20T11:40:51.777Z,Ap Xuan Thoi Dong 2,133
2020-07-20T11:50:52.074Z,Ap Xuan Thoi Dong 2,133
2020-07-20T12:00:51.776Z,Ap Xuan Thoi Dong 2,133
2020-07-20T12:10:52.135Z,Ap Xuan Thoi Dong 2,154
2020-07-20T12:20:51.813Z,Ap Xuan Thoi Dong 2,154
2020-07-20T12:30:52.147Z,Ap Xuan Thoi Dong 2,154
2020-07-20T12:40:51.774Z,Ap Xuan Thoi Dong 2,154
2020-07-20T12:50:52.066Z,Ap Xuan Thoi Dong 2,154
2020-07-20T13:00:51.806Z,Ap Xuan Thoi Dong 2,154
2020-07-20T13:10:51.931Z,Ap Xuan Thoi Dong 2,162
2020-07-20T13:20:51.995Z,Ap Xuan Thoi Dong 2,162
2020-07-20T13:30:51.887Z,Ap Xuan Thoi Dong 2,162
2020-07-20T13:40:51.845Z,Ap Xuan Thoi Dong 2,162
2020-07-20T13:50:52.109Z,Ap Xuan Thoi Dong 2,162
2020-07-20T14:00:51.818Z,Ap Xuan Thoi Dong 2,162
2020-07-20T14:10:52.093Z,Ap Xuan Thoi Dong 2,161
2020-07-20T14:20:51.886Z,Ap Xuan Thoi Dong 2,161
2020-07-20T14:30:51.953Z,Ap Xuan Thoi Dong 2,161
2020-07-20T14:40:51.786Z,Ap Xuan Thoi Dong 2,161
2020-07-20T14:50:52.014Z,Ap Xuan Thoi Dong 2,161
2020-07-20T15:00:51.763Z,Ap Xuan Thoi Dong 2,161
2020-07-20T15:10:52.407Z,Ap Xuan Thoi Dong 2,127
2020-07-20T15:20:51.774Z,Ap Xuan Thoi Dong 2,127
2020-07-20T15:30:52.008Z,Ap Xuan Thoi Dong 2,127
2020-07-20T15:40:51.757Z,Ap Xuan Thoi Dong 2,127
2020-07-20T15:50:52.021Z,Ap Xuan Thoi Dong 2,127
2020-07-20T16:00:51.747Z,Ap Xuan Thoi Dong 2,127
2020-07-20T16:10:51.922Z,Ap Xuan Thoi Dong 2,142
2020-07-20T16:20:51.970Z,Ap Xuan Thoi Dong 2,142
2020-07-20T16:30:51.907Z,Ap Xuan Thoi Dong 2,142
2020-07-20T16:40:51.782Z,Ap Xuan Thoi Dong 2,142
2020-07-20T16:50:52.009Z,Ap Xuan Thoi Dong 2,142
