Time,Location,AQI
2020-07-20T08:30:51.922Z,Diamond Island - T4,80
2020-07-20T08:40:52.251Z,Diamond Island - T4,80
2020-07-20T08:50:52.174Z,Diamond Island - T4,80
2020-07-20T09:00:51.784Z,Diamond Island - T4,80
2020-07-20T09:10:52.858Z,Diamond Island - T4,84
2020-07-20T09:20:51.812Z,Diamond Island - T4,84
2020-07-20T09:30:51.969Z,Diamond Island - T4,84
2020-07-20T09:40:51.771Z,Diamond Island - T4,84
2020-07-20T09:50:52.084Z,Diamond Island - T4,84
2020-07-20T10:00:51.786Z,Diamond Island - T4,84
2020-07-20T10:10:51.884Z,Diamond Island - T4,125
2020-07-20T10:20:51.815Z,Diamond Island - T4,125
2020-07-20T10:30:51.986Z,Diamond Island - T4,125
2020-07-20T10:40:51.786Z,Diamond Island - T4,125
2020-07-20T10:50:51.875Z,Diamond Island - T4,125
2020-07-20T11:00:51.879Z,Diamond Island - T4,125
2020-07-20T11:10:52.076Z,Diamond Island - T4,37
2020-07-20T11:20:51.811Z,Diamond Island - T4,37
2020-07-20T11:30:51.922Z,Diamond Island - T4,37
2020-07-20T11:40:51.777Z,Diamond Island - T4,37
2020-07-20T11:50:52.074Z,Diamond Island - T4,37
2020-07-20T12:00:51.776Z,Diamond Island - T4,37
2020-07-20T12:10:52.135Z,Diamond Island - T4,37
2020-07-20T12:20:51.813Z,Diamond Island - T4,37
2020-07-20T12:30:52.147Z,Diamond Island - T4,37
2020-07-20T12:40:51.774Z,Diamond Island - T4,37
2020-07-20T12:50:52.066Z,Diamond Island - T4,37
2020-07-20T13:00:51.806Z,Diamond Island - T4,37
2020-07-20T13:10:51.931Z,Diamond Island - T4,16
2020-07-20T13:20:51.995Z,Diamond Island - T4,16
2020-07-20T13:30:51.887Z,Diamond Island - T4,16
2020-07-20T13:40:51.845Z,Diamond Island - T4,16
2020-07-20T13:50:52.109Z,Diamond Island - T4,16
2020-07-20T14:00:51.818Z,Diamond Island - T4,16
2020-07-20T14:10:52.093Z,Diamond Island - T4,21
2020-07-20T14:20:51.886Z,Diamond Island - T4,21
2020-07-20T14:30:51.953Z,Diamond Island - T4,21
2020-07-20T14:40:51.786Z,Diamond Island - T4,21
2020-07-20T14:50:52.014Z,Diamond Island - T4,21
2020-07-20T15:00:51.763Z,Diamond Island - T4,21
2020-07-20T15:10:52.407Z,Diamond Island - T4,71
2020-07-20T15:20:51.774Z,Diamond Island - T4,71
2020-07-20T15:30:52.008Z,Diamond Island - T4,71
2020-07-20T15:40:51.757Z,Diamond Island - T4,71
2020-07-20T15:50:52.021Z,Diamond Island - T4,71
2020-07-20T16:00:51.747Z,Diamond Island - T4,71
2020-07-20T16:10:51.922Z,Diamond Island - T4,156
2020-07-20T16:20:51.970Z,Diamond Island - T4,156
2020-07-20T16:30:51.907Z,Diamond Island - T4,156
2020-07-20T16:40:51.782Z,Diamond Island - T4,156
2020-07-20T16:50:52.009Z,Diamond Island - T4,156
