Time,Location,AQI
2020-07-20T08:30:51.922Z,FPT Software HCM,55
2020-07-20T08:40:52.251Z,FPT Software HCM,55
2020-07-20T08:50:52.174Z,FPT Software HCM,55
2020-07-20T09:00:51.784Z,FPT Software HCM,55
2020-07-20T09:10:52.858Z,FPT Software HCM,45
2020-07-20T09:20:51.812Z,FPT Software HCM,45
2020-07-20T09:30:51.969Z,FPT Software HCM,45
2020-07-20T09:40:51.771Z,FPT Software HCM,45
2020-07-20T09:50:52.084Z,FPT Software HCM,45
2020-07-20T10:00:51.786Z,FPT Software HCM,45
2020-07-20T10:10:51.884Z,FPT Software HCM,37
2020-07-20T10:20:51.815Z,FPT Software HCM,37
2020-07-20T10:30:51.986Z,FPT Software HCM,37
2020-07-20T10:40:51.786Z,FPT Software HCM,37
2020-07-20T10:50:51.875Z,FPT Software HCM,37
2020-07-20T11:00:51.879Z,FPT Software HCM,37
2020-07-20T11:10:52.076Z,FPT Software HCM,41
2020-07-20T11:20:51.811Z,FPT Software HCM,41
2020-07-20T11:30:51.922Z,FPT Software HCM,41
2020-07-20T11:40:51.777Z,FPT Software HCM,41
2020-07-20T11:50:52.074Z,FPT Software HCM,41
2020-07-20T12:00:51.776Z,FPT Software HCM,41
2020-07-20T12:10:52.135Z,FPT Software HCM,33
2020-07-20T12:20:51.813Z,FPT Software HCM,33
2020-07-20T12:30:52.147Z,FPT Software HCM,33
2020-07-20T12:40:51.774Z,FPT Software HCM,33
2020-07-20T12:50:52.066Z,FPT Software HCM,33
2020-07-20T13:00:51.806Z,FPT Software HCM,33
2020-07-20T13:10:51.931Z,FPT Software HCM,29
2020-07-20T13:20:51.995Z,FPT Software HCM,29
2020-07-20T13:30:51.887Z,FPT Software HCM,29
2020-07-20T13:40:51.845Z,FPT Software HCM,29
2020-07-20T13:50:52.109Z,FPT Software HCM,29
2020-07-20T14:00:51.818Z,FPT Software HCM,29
2020-07-20T14:10:52.093Z,FPT Software HCM,25
2020-07-20T14:20:51.886Z,FPT Software HCM,25
2020-07-20T14:30:51.953Z,FPT Software HCM,25
2020-07-20T14:40:51.786Z,FPT Software HCM,25
2020-07-20T14:50:52.014Z,FPT Software HCM,25
2020-07-20T15:00:51.763Z,FPT Software HCM,25
2020-07-20T15:10:52.407Z,FPT Software HCM,29
2020-07-20T15:20:51.774Z,FPT Software HCM,29
2020-07-20T15:30:52.007Z,FPT Software HCM,29
2020-07-20T15:40:51.757Z,FPT Software HCM,29
2020-07-20T15:50:52.021Z,FPT Software HCM,29
2020-07-20T16:00:51.747Z,FPT Software HCM,29
2020-07-20T16:10:51.922Z,FPT Software HCM,29
2020-07-20T16:20:51.970Z,FPT Software HCM,29
2020-07-20T16:30:51.907Z,FPT Software HCM,29
2020-07-20T16:40:51.782Z,FPT Software HCM,29
2020-07-20T16:50:52.009Z,FPT Software HCM,29
