Time,Location,AQI
2020-07-20T08:30:51.922Z,"Long Phuoc, District 9",55
2020-07-20T08:40:52.251Z,"Long Phuoc, District 9",55
2020-07-20T08:50:52.174Z,"Long Phuoc, District 9",55
2020-07-20T09:00:51.784Z,"Long Phuoc, District 9",55
2020-07-20T09:10:52.858Z,"Long Phuoc, District 9",55
2020-07-20T09:20:51.812Z,"Long Phuoc, District 9",55
2020-07-20T09:30:51.969Z,"Long Phuoc, District 9",55
2020-07-20T09:40:51.771Z,"Long Phuoc, District 9",55
2020-07-20T09:50:52.084Z,"Long Phuoc, District 9",55
2020-07-20T10:00:51.786Z,"Long Phuoc, District 9",55
2020-07-20T10:10:51.884Z,"Long Phuoc, District 9",63
2020-07-20T10:20:51.815Z,"Long Phuoc, District 9",63
2020-07-20T10:30:51.986Z,"Long Phuoc, District 9",63
2020-07-20T10:40:51.786Z,"Long Phuoc, District 9",63
2020-07-20T10:50:51.875Z,"Long Phuoc, District 9",63
2020-07-20T11:00:51.879Z,"Long Phuoc, District 9",63
2020-07-20T11:10:52.076Z,"Long Phuoc, District 9",55
2020-07-20T11:20:51.811Z,"Long Phuoc, District 9",55
2020-07-20T11:30:51.922Z,"Long Phuoc, District 9",55
2020-07-20T11:40:51.777Z,"Long Phuoc, District 9",55
2020-07-20T11:50:52.074Z,"Long Phuoc, District 9",55
2020-07-20T12:00:51.776Z,"Long Phuoc, District 9",55
2020-07-20T12:10:52.135Z,"Long Phuoc, District 9",32
2020-07-20T12:20:51.813Z,"Long Phuoc, District 9",32
2020-07-20T12:30:52.147Z,"Long Phuoc, District 9",32
2020-07-20T12:40:51.774Z,"Long Phuoc, District 9",32
2020-07-20T12:50:52.066Z,"Long Phuoc, District 9",32
2020-07-20T13:00:51.806Z,"Long Phuoc, District 9",32
2020-07-20T13:10:51.931Z,"Long Phuoc, District 9",19
2020-07-20T13:20:51.995Z,"Long Phuoc, District 9",19
2020-07-20T13:30:51.887Z,"Long Phuoc, District 9",19
2020-07-20T13:40:51.845Z,"Long Phuoc, District 9",19
2020-07-20T13:50:52.109Z,"Long Phuoc, District 9",19
2020-07-20T14:00:51.818Z,"Long Phuoc, District 9",19
2020-07-20T14:10:52.093Z,"Long Phuoc, District 9",77
2020-07-20T14:20:51.886Z,"Long Phuoc, District 9",77
2020-07-20T14:30:51.953Z,"Long Phuoc, District 9",77
2020-07-20T14:40:51.786Z,"Long Phuoc, District 9",77
2020-07-20T14:50:52.014Z,"Long Phuoc, District 9",77
2020-07-20T15:00:51.763Z,"Long Phuoc, District 9",77
2020-07-20T15:10:52.407Z,"Long Phuoc, District 9",61
2020-07-20T15:20:51.774Z,"Long Phuoc, District 9",61
2020-07-20T15:30:52.008Z,"Long Phuoc, District 9",61
2020-07-20T15:40:51.757Z,"Long Phuoc, District 9",61
2020-07-20T15:50:52.021Z,"Long Phuoc, District 9",61
2020-07-20T16:00:51.747Z,"Long Phuoc, District 9",61
2020-07-20T16:10:51.922Z,"Long Phuoc, District 9",59
2020-07-20T16:20:51.970Z,"Long Phuoc, District 9",59
2020-07-20T16:30:51.907Z,"Long Phuoc, District 9",59
2020-07-20T16:40:51.782Z,"Long Phuoc, District 9",59
2020-07-20T16:50:52.009Z,"Long Phuoc, District 9",59
