Time,Location,AQI
2020-07-20T08:30:51.922Z,Lycee Francais International Marguerite Duras,53
2020-07-20T08:40:52.251Z,Lycee Francais International Marguerite Duras,53
2020-07-20T08:50:52.174Z,Lycee Francais International Marguerite Duras,53
2020-07-20T09:00:51.784Z,Lycee Francais International Marguerite Duras,53
2020-07-20T09:10:52.858Z,Lycee Francais International Marguerite Duras,65
2020-07-20T09:20:51.812Z,Lycee Francais International Marguerite Duras,65
2020-07-20T09:30:51.969Z,Lycee Francais International Marguerite Duras,65
2020-07-20T09:40:51.771Z,Lycee Francais International Marguerite Duras,65
2020-07-20T09:50:52.084Z,Lycee Francais International Marguerite Duras,65
2020-07-20T10:00:51.786Z,Lycee Francais International Marguerite Duras,65
2020-07-20T10:10:51.884Z,Lycee Francais International Marguerite Duras,62
2020-07-20T10:20:51.815Z,Lycee Francais International Marguerite Duras,62
2020-07-20T10:30:51.986Z,Lycee Francais International Marguerite Duras,62
2020-07-20T10:40:51.786Z,Lycee Francais International Marguerite Duras,62
2020-07-20T10:50:51.875Z,Lycee Francais International Marguerite Duras,62
2020-07-20T11:00:51.879Z,Lycee Francais International Marguerite Duras,62
2020-07-20T11:10:52.076Z,Lycee Francais International Marguerite Duras,54
2020-07-20T11:20:51.811Z,Lycee Francais International Marguerite Duras,54
2020-07-20T11:30:51.922Z,Lycee Francais International Marguerite Duras,54
2020-07-20T11:40:51.777Z,Lycee Francais International Marguerite Duras,54
2020-07-20T11:50:52.074Z,Lycee Francais International Marguerite Duras,54
2020-07-20T12:00:51.776Z,Lycee Francais International Marguerite Duras,54
2020-07-20T12:10:52.135Z,Lycee Francais International Marguerite Duras,52
2020-07-20T12:20:51.813Z,Lycee Francais International Marguerite Duras,52
2020-07-20T12:30:52.147Z,Lycee Francais International Marguerite Duras,52
2020-07-20T12:40:51.774Z,Lycee Francais International Marguerite Duras,52
2020-07-20T12:50:52.066Z,Lycee Francais International Marguerite Duras,52
2020-07-20T13:00:51.806Z,Lycee Francais International Marguerite Duras,52
2020-07-20T13:10:51.931Z,Lycee Francais International Marguerite Duras,29
2020-07-20T13:20:51.995Z,Lycee Francais International Marguerite Duras,29
2020-07-20T13:30:51.887Z,Lycee Francais International Marguerite Duras,29
2020-07-20T13:40:51.845Z,Lycee Francais International Marguerite Duras,29
2020-07-20T13:50:52.109Z,Lycee Francais International Marguerite Duras,29
2020-07-20T14:00:51.818Z,Lycee Francais International Marguerite Duras,29
2020-07-20T14:10:52.093Z,Lycee Francais International Marguerite Duras,54
2020-07-20T14:20:51.886Z,Lycee Francais International Marguerite Duras,54
2020-07-20T14:30:51.953Z,Lycee Francais International Marguerite Duras,54
2020-07-20T14:40:51.786Z,Lycee Francais International Marguerite Duras,54
2020-07-20T14:50:52.014Z,Lycee Francais International Marguerite Duras,54
2020-07-20T15:00:51.763Z,Lycee Francais International Marguerite Duras,54
2020-07-20T15:10:52.407Z,Lycee Francais International Marguerite Duras,71
2020-07-20T15:20:51.774Z,Lycee Francais International Marguerite Duras,71
2020-07-20T15:30:52.008Z,Lycee Francais International Marguerite Duras,71
2020-07-20T15:40:51.757Z,Lycee Francais International Marguerite Duras,71
2020-07-20T15:50:52.021Z,Lycee Francais International Marguerite Duras,71
2020-07-20T16:00:51.747Z,Lycee Francais International Marguerite Duras,71
2020-07-20T16:10:51.922Z,Lycee Francais International Marguerite Duras,82
2020-07-20T16:20:51.970Z,Lycee Francais International Marguerite Duras,82
2020-07-20T16:30:51.907Z,Lycee Francais International Marguerite Duras,82
2020-07-20T16:40:51.782Z,Lycee Francais International Marguerite Duras,82
2020-07-20T16:50:52.009Z,Lycee Francais International Marguerite Duras,82
