Time,Location,AQI
2020-07-20T08:30:51.922Z,Mam non Hai Au Bay,80
2020-07-20T08:40:52.251Z,Mam non Hai Au Bay,80
2020-07-20T08:50:52.174Z,Mam non Hai Au Bay,80
2020-07-20T09:00:51.784Z,Mam non Hai Au Bay,80
2020-07-20T09:10:52.858Z,Mam non Hai Au Bay,65
2020-07-20T09:20:51.812Z,Mam non Hai Au Bay,65
2020-07-20T09:30:51.969Z,Mam non Hai Au Bay,65
2020-07-20T09:40:51.771Z,Mam non Hai Au Bay,65
2020-07-20T09:50:52.084Z,Mam non Hai Au Bay,65
2020-07-20T10:00:51.786Z,Mam non Hai Au Bay,65
2020-07-20T10:10:51.884Z,Mam non Hai Au Bay,80
2020-07-20T10:20:51.815Z,Mam non Hai Au Bay,80
2020-07-20T10:30:51.986Z,Mam non Hai Au Bay,80
2020-07-20T10:40:51.786Z,Mam non Hai Au Bay,80
2020-07-20T10:50:51.875Z,Mam non Hai Au Bay,80
2020-07-20T11:00:51.879Z,Mam non Hai Au Bay,80
2020-07-20T11:10:52.076Z,Mam non Hai Au Bay,45
2020-07-20T11:20:51.811Z,Mam non Hai Au Bay,45
2020-07-20T11:30:51.922Z,Mam non Hai Au Bay,45
2020-07-20T11:40:51.777Z,Mam non Hai Au Bay,45
2020-07-20T11:50:52.074Z,Mam non Hai Au Bay,45
2020-07-20T12:00:51.776Z,Mam non Hai Au Bay,45
2020-07-20T12:10:52.135Z,Mam non Hai Au Bay,69
2020-07-20T12:20:51.813Z,Mam non Hai Au Bay,69
2020-07-20T12:30:52.147Z,Mam non Hai Au Bay,69
2020-07-20T12:40:51.774Z,Mam non Hai Au Bay,69
2020-07-20T12:50:52.066Z,Mam non Hai Au Bay,69
2020-07-20T13:00:51.806Z,Mam non Hai Au Bay,69
2020-07-20T13:10:51.931Z,Mam non Hai Au Bay,101
2020-07-20T13:20:51.995Z,Mam non Hai Au Bay,101
2020-07-20T13:30:51.887Z,Mam non Hai Au Bay,101
2020-07-20T13:40:51.845Z,Mam non Hai Au Bay,101
2020-07-20T13:50:52.109Z,Mam non Hai Au Bay,101
2020-07-20T14:00:51.818Z,Mam non Hai Au Bay,101
2020-07-20T14:10:52.093Z,Mam non Hai Au Bay,154
2020-07-20T14:20:51.886Z,Mam non Hai Au Bay,154
2020-07-20T14:30:51.953Z,Mam non Hai Au Bay,154
2020-07-20T14:40:51.786Z,Mam non Hai Au Bay,154
2020-07-20T14:50:52.014Z,Mam non Hai Au Bay,154
2020-07-20T15:00:51.763Z,Mam non Hai Au Bay,154
2020-07-20T15:10:52.407Z,Mam non Hai Au Bay,156
2020-07-20T15:20:51.774Z,Mam non Hai Au Bay,156
2020-07-20T15:30:52.008Z,Mam non Hai Au Bay,156
2020-07-20T15:40:51.757Z,Mam non Hai Au Bay,156
2020-07-20T15:50:52.021Z,Mam non Hai Au Bay,156
2020-07-20T16:00:51.747Z,Mam non Hai Au Bay,156
2020-07-20T16:10:51.922Z,Mam non Hai Au Bay,151
2020-07-20T16:20:51.970Z,Mam non Hai Au Bay,151
2020-07-20T16:30:51.907Z,Mam non Hai Au Bay,151
2020-07-20T16:40:51.782Z,Mam non Hai Au Bay,151
2020-07-20T16:50:52.009Z,Mam non Hai Au Bay,151
