Time,Location,AQI
2020-07-20T08:30:51.922Z,RMIT University,67
2020-07-20T08:40:52.251Z,RMIT University,67
2020-07-20T08:50:52.174Z,RMIT University,67
2020-07-20T09:00:51.784Z,RMIT University,67
2020-07-20T09:10:52.858Z,RMIT University,87
2020-07-20T09:20:51.812Z,RMIT University,87
2020-07-20T09:30:51.969Z,RMIT University,87
2020-07-20T09:40:51.771Z,RMIT University,87
2020-07-20T09:50:52.084Z,RMIT University,87
2020-07-20T10:00:51.786Z,RMIT University,87
2020-07-20T10:10:51.884Z,RMIT University,90
2020-07-20T10:20:51.815Z,RMIT University,90
2020-07-20T10:30:51.986Z,RMIT University,90
2020-07-20T10:40:51.786Z,RMIT University,90
2020-07-20T10:50:51.875Z,RMIT University,90
2020-07-20T11:00:51.879Z,RMIT University,90
2020-07-20T11:10:52.076Z,RMIT University,53
2020-07-20T11:20:51.811Z,RMIT University,53
2020-07-20T11:30:51.922Z,RMIT University,53
2020-07-20T11:40:51.777Z,RMIT University,53
2020-07-20T11:50:52.074Z,RMIT University,53
2020-07-20T12:00:51.776Z,RMIT University,53
2020-07-20T12:10:52.135Z,RMIT University,65
2020-07-20T12:20:51.813Z,RMIT University,65
2020-07-20T12:30:52.147Z,RMIT University,65
2020-07-20T12:40:51.774Z,RMIT University,65
2020-07-20T12:50:52.066Z,RMIT University,65
2020-07-20T13:00:51.806Z,RMIT University,65
2020-07-20T13:10:51.931Z,RMIT University,92
2020-07-20T13:20:51.995Z,RMIT University,92
2020-07-20T13:30:51.887Z,RMIT University,92
2020-07-20T13:40:51.845Z,RMIT University,92
2020-07-20T13:50:52.109Z,RMIT University,92
2020-07-20T14:00:51.818Z,RMIT University,92
2020-07-20T14:10:52.093Z,RMIT University,95
2020-07-20T14:20:51.886Z,RMIT University,95
2020-07-20T14:30:51.953Z,RMIT University,95
2020-07-20T14:40:51.786Z,RMIT University,95
2020-07-20T14:50:52.014Z,RMIT University,95
2020-07-20T15:00:51.763Z,RMIT University,95
2020-07-20T15:10:52.407Z,RMIT University,98
2020-07-20T15:20:51.774Z,RMIT University,98
2020-07-20T15:30:52.008Z,RMIT University,98
2020-07-20T15:40:51.757Z,RMIT University,98
2020-07-20T15:50:52.021Z,RMIT University,98
2020-07-20T16:00:51.747Z,RMIT University,98
2020-07-20T16:10:51.922Z,RMIT University,159
2020-07-20T16:20:51.970Z,RMIT University,159
2020-07-20T16:30:51.907Z,RMIT University,159
2020-07-20T16:40:51.782Z,RMIT University,159
2020-07-20T16:50:52.009Z,RMIT University,159
