Time,Location,AQI
2020-07-20T08:30:51.922Z,Saigon South International School,77
2020-07-20T08:40:52.251Z,Saigon South International School,77
2020-07-20T08:50:52.174Z,Saigon South International School,77
2020-07-20T09:00:51.784Z,Saigon South International School,77
2020-07-20T09:10:52.858Z,Saigon South International School,73
2020-07-20T09:20:51.812Z,Saigon South International School,73
2020-07-20T09:30:51.969Z,Saigon South International School,73
2020-07-20T09:40:51.771Z,Saigon South International School,73
2020-07-20T09:50:52.084Z,Saigon South International School,73
2020-07-20T10:00:51.786Z,Saigon South International School,73
2020-07-20T10:10:51.884Z,Saigon South International School,81
2020-07-20T10:20:51.815Z,Saigon South International School,81
2020-07-20T10:30:51.986Z,Saigon South International School,81
2020-07-20T10:40:51.786Z,Saigon South International School,81
2020-07-20T10:50:51.875Z,Saigon South International School,81
2020-07-20T11:00:51.879Z,Saigon South International School,81
2020-07-20T11:10:52.076Z,Saigon South International School,30
2020-07-20T11:20:51.811Z,Saigon South International School,30
2020-07-20T11:30:51.922Z,Saigon South International School,30
2020-07-20T11:40:51.777Z,Saigon South International School,30
2020-07-20T11:50:52.074Z,Saigon South International School,30
2020-07-20T12:00:51.776Z,Saigon South International School,30
2020-07-20T12:10:52.135Z,Saigon South International School,34
2020-07-20T12:20:51.813Z,Saigon South International School,34
2020-07-20T12:30:52.147Z,Saigon South International School,34
2020-07-20T12:40:51.774Z,Saigon South International School,34
2020-07-20T12:50:52.066Z,Saigon South International School,34
2020-07-20T13:00:51.806Z,Saigon South International School,34
2020-07-20T13:10:51.931Z,Saigon South International School,67
2020-07-20T13:20:51.995Z,Saigon South International School,67
2020-07-20T13:30:51.887Z,Saigon South International School,67
2020-07-20T13:40:51.845Z,Saigon South International School,67
2020-07-20T13:50:52.109Z,Saigon South International School,67
2020-07-20T14:00:51.818Z,Saigon South International School,67
2020-07-20T14:10:52.093Z,Saigon South International School,76
2020-07-20T14:20:51.886Z,Saigon South International School,76
2020-07-20T14:30:51.953Z,Saigon South International School,76
2020-07-20T14:40:51.786Z,Saigon South International School,76
2020-07-20T14:50:52.014Z,Saigon South International School,76
2020-07-20T15:00:51.763Z,Saigon South International School,76
2020-07-20T15:10:52.407Z,Saigon South International School,94
2020-07-20T15:20:51.774Z,Saigon South International School,94
2020-07-20T15:30:52.008Z,Saigon South International School,94
2020-07-20T15:40:51.757Z,Saigon South International School,94
2020-07-20T15:50:52.021Z,Saigon South International School,94
2020-07-20T16:00:51.747Z,Saigon South International School,94
2020-07-20T16:10:51.922Z,Saigon South International School,154
2020-07-20T16:20:51.970Z,Saigon South International School,154
2020-07-20T16:30:51.907Z,Saigon South International School,154
2020-07-20T16:40:51.782Z,Saigon South International School,154
2020-07-20T16:50:52.009Z,Saigon South International School,154
