Time,Location,AQI
2020-07-20T08:30:51.922Z,SimCity Premier District 9,55
2020-07-20T08:40:52.251Z,SimCity Premier District 9,55
2020-07-20T08:50:52.174Z,SimCity Premier District 9,55
2020-07-20T09:00:51.784Z,SimCity Premier District 9,55
2020-07-20T09:10:52.858Z,SimCity Premier District 9,63
2020-07-20T09:20:51.812Z,SimCity Premier District 9,63
2020-07-20T09:30:51.969Z,SimCity Premier District 9,63
2020-07-20T09:40:51.771Z,SimCity Premier District 9,63
2020-07-20T09:50:52.084Z,SimCity Premier District 9,63
2020-07-20T10:00:51.786Z,SimCity Premier District 9,63
2020-07-20T10:10:51.884Z,SimCity Premier District 9,59
2020-07-20T10:20:51.815Z,SimCity Premier District 9,59
2020-07-20T10:30:51.986Z,SimCity Premier District 9,59
2020-07-20T10:40:51.786Z,SimCity Premier District 9,59
2020-07-20T10:50:51.875Z,SimCity Premier District 9,59
2020-07-20T11:00:51.879Z,SimCity Premier District 9,59
2020-07-20T11:10:52.076Z,SimCity Premier District 9,67
2020-07-20T11:20:51.811Z,SimCity Premier District 9,67
2020-07-20T11:30:51.922Z,SimCity Premier District 9,67
2020-07-20T11:40:51.777Z,SimCity Premier District 9,67
2020-07-20T11:50:52.074Z,SimCity Premier District 9,67
2020-07-20T12:00:51.776Z,SimCity Premier District 9,67
2020-07-20T12:10:52.135Z,SimCity Premier District 9,33
2020-07-20T12:20:51.813Z,SimCity Premier District 9,33
2020-07-20T12:30:52.147Z,SimCity Premier District 9,33
2020-07-20T12:40:51.774Z,SimCity Premier District 9,33
2020-07-20T12:50:52.066Z,SimCity Premier District 9,33
2020-07-20T13:00:51.806Z,SimCity Premier District 9,33
2020-07-20T13:10:51.931Z,SimCity Premier District 9,31
2020-07-20T13:20:51.995Z,SimCity Premier District 9,31
2020-07-20T13:30:51.887Z,SimCity Premier District 9,31
2020-07-20T13:40:51.845Z,SimCity Premier District 9,31
2020-07-20T13:50:52.109Z,SimCity Premier District 9,31
2020-07-20T14:00:51.818Z,SimCity Premier District 9,31
2020-07-20T14:10:52.093Z,SimCity Premier District 9,41
2020-07-20T14:20:51.886Z,SimCity Premier District 9,41
2020-07-20T14:30:51.953Z,SimCity Premier District 9,41
2020-07-20T14:40:51.786Z,SimCity Premier District 9,41
2020-07-20T14:50:52.014Z,SimCity Premier District 9,41
2020-07-20T15:00:51.763Z,SimCity Premier District 9,41
2020-07-20T15:10:52.407Z,SimCity Premier District 9,88
2020-07-20T15:20:51.774Z,SimCity Premier District 9,88
2020-07-20T15:30:52.008Z,SimCity Premier District 9,88
2020-07-20T15:40:51.757Z,SimCity Premier District 9,88
2020-07-20T15:50:52.021Z,SimCity Premier District 9,88
2020-07-20T16:00:51.747Z,SimCity Premier District 9,88
2020-07-20T16:10:51.922Z,SimCity Premier District 9,99
2020-07-20T16:20:51.970Z,SimCity Premier District 9,99
2020-07-20T16:30:51.907Z,SimCity Premier District 9,99
2020-07-20T16:40:51.782Z,SimCity Premier District 9,99
2020-07-20T16:50:52.009Z,SimCity Premier District 9,99
