Time,Location,AQI
2020-07-20T08:30:51.922Z,THCS Thanh My Loi,45
2020-07-20T08:40:52.251Z,THCS Thanh My Loi,45
2020-07-20T08:50:52.174Z,THCS Thanh My Loi,45
2020-07-20T09:00:51.784Z,THCS Thanh My Loi,45
2020-07-20T09:10:52.858Z,THCS Thanh My Loi,49
2020-07-20T09:20:51.812Z,THCS Thanh My Loi,49
2020-07-20T09:30:51.969Z,THCS Thanh My Loi,49
2020-07-20T09:40:51.771Z,THCS Thanh My Loi,49
2020-07-20T09:50:52.084Z,THCS Thanh My Loi,49
2020-07-20T10:00:51.786Z,THCS Thanh My Loi,49
2020-07-20T10:10:51.884Z,THCS Thanh My Loi,41
2020-07-20T10:20:51.815Z,THCS Thanh My Loi,41
2020-07-20T10:30:51.986Z,THCS Thanh My Loi,41
2020-07-20T10:40:51.786Z,THCS Thanh My Loi,41
2020-07-20T10:50:51.875Z,THCS Thanh My Loi,41
2020-07-20T11:00:51.879Z,THCS Thanh My Loi,41
2020-07-20T11:10:52.076Z,THCS Thanh My Loi,29
2020-07-20T11:20:51.811Z,THCS Thanh My Loi,29
2020-07-20T11:30:51.922Z,THCS Thanh My Loi,29
2020-07-20T11:40:51.777Z,THCS Thanh My Loi,29
2020-07-20T11:50:52.074Z,THCS Thanh My Loi,29
2020-07-20T12:00:51.776Z,THCS Thanh My Loi,29
2020-07-20T12:10:52.135Z,THCS Thanh My Loi,21
2020-07-20T12:20:51.813Z,THCS Thanh My Loi,21
2020-07-20T12:30:52.147Z,THCS Thanh My Loi,21
2020-07-20T12:40:51.774Z,THCS Thanh My Loi,21
2020-07-20T12:50:52.066Z,THCS Thanh My Loi,21
2020-07-20T13:00:51.806Z,THCS Thanh My Loi,21
2020-07-20T13:10:51.931Z,THCS Thanh My Loi,21
2020-07-20T13:20:51.995Z,THCS Thanh My Loi,21
2020-07-20T13:30:51.887Z,THCS Thanh My Loi,21
2020-07-20T13:40:51.845Z,THCS Thanh My Loi,21
2020-07-20T13:50:52.109Z,THCS Thanh My Loi,21
2020-07-20T14:00:51.818Z,THCS Thanh My Loi,21
2020-07-20T14:10:52.093Z,THCS Thanh My Loi,21
2020-07-20T14:20:51.886Z,THCS Thanh My Loi,21
2020-07-20T14:30:51.953Z,THCS Thanh My Loi,21
2020-07-20T14:40:51.786Z,THCS Thanh My Loi,21
2020-07-20T14:50:52.014Z,THCS Thanh My Loi,21
2020-07-20T15:00:51.763Z,THCS Thanh My Loi,21
2020-07-20T15:10:52.407Z,THCS Thanh My Loi,37
2020-07-20T15:20:51.774Z,THCS Thanh My Loi,37
2020-07-20T15:30:52.008Z,THCS Thanh My Loi,37
2020-07-20T15:40:51.757Z,THCS Thanh My Loi,37
2020-07-20T15:50:52.021Z,THCS Thanh My Loi,37
2020-07-20T16:00:51.747Z,THCS Thanh My Loi,37
2020-07-20T16:10:51.922Z,THCS Thanh My Loi,49
2020-07-20T16:20:51.970Z,THCS Thanh My Loi,49
2020-07-20T16:30:51.907Z,THCS Thanh My Loi,49
2020-07-20T16:40:51.782Z,THCS Thanh My Loi,49
2020-07-20T16:50:52.009Z,THCS Thanh My Loi,49
