Time,Location,AQI
2020-07-20T08:30:51.922Z,Thao Dien,65
2020-07-20T08:40:52.251Z,Thao Dien,65
2020-07-20T08:50:52.174Z,Thao Dien,65
2020-07-20T09:00:51.784Z,Thao Dien,65
2020-07-20T09:10:52.858Z,Thao Dien,65
2020-07-20T09:20:51.812Z,Thao Dien,65
2020-07-20T09:30:51.969Z,Thao Dien,65
2020-07-20T09:40:51.771Z,Thao Dien,65
2020-07-20T09:50:52.084Z,Thao Dien,65
2020-07-20T10:00:51.786Z,Thao Dien,65
2020-07-20T10:10:51.884Z,Thao Dien,61
2020-07-20T10:20:51.815Z,Thao Dien,61
2020-07-20T10:30:51.986Z,Thao Dien,61
2020-07-20T10:40:51.786Z,Thao Dien,61
2020-07-20T10:50:51.875Z,Thao Dien,61
2020-07-20T11:00:51.879Z,Thao Dien,61
2020-07-20T11:10:52.076Z,Thao Dien,45
2020-07-20T11:20:51.811Z,Thao Dien,45
2020-07-20T11:30:51.922Z,Thao Dien,45
2020-07-20T11:40:51.777Z,Thao Dien,45
2020-07-20T11:50:52.074Z,Thao Dien,45
2020-07-20T12:00:51.776Z,Thao Dien,45
2020-07-20T12:10:52.135Z,Thao Dien,29
2020-07-20T12:20:51.813Z,Thao Dien,29
2020-07-20T12:30:52.147Z,Thao Dien,29
2020-07-20T12:40:51.774Z,Thao Dien,29
2020-07-20T12:50:52.066Z,Thao Dien,29
2020-07-20T13:00:51.806Z,Thao Dien,29
2020-07-20T13:10:51.931Z,Thao Dien,25
2020-07-20T13:20:51.995Z,Thao Dien,25
2020-07-20T13:30:51.887Z,Thao Dien,25
2020-07-20T13:40:51.845Z,Thao Dien,25
2020-07-20T13:50:52.109Z,Thao Dien,25
2020-07-20T14:00:51.818Z,Thao Dien,25
2020-07-20T14:10:52.093Z,Thao Dien,33
2020-07-20T14:20:51.886Z,Thao Dien,33
2020-07-20T14:30:51.953Z,Thao Dien,33
2020-07-20T14:40:51.786Z,Thao Dien,33
2020-07-20T14:50:52.014Z,Thao Dien,33
2020-07-20T15:00:51.763Z,Thao Dien,33
2020-07-20T15:10:52.407Z,Thao Dien,153
2020-07-20T15:20:51.774Z,Thao Dien,153
2020-07-20T15:30:52.008Z,Thao Dien,153
2020-07-20T15:40:51.757Z,Thao Dien,153
2020-07-20T15:50:52.021Z,Thao Dien,153
2020-07-20T16:00:51.747Z,Thao Dien,153
2020-07-20T16:10:51.922Z,Thao Dien,164
2020-07-20T16:20:51.970Z,Thao Dien,164
2020-07-20T16:30:51.907Z,Thao Dien,164
2020-07-20T16:40:51.782Z,Thao Dien,164
2020-07-20T16:50:52.009Z,Thao Dien,164
