Time,Location,AQI
2020-07-20T08:30:51.922Z,The Park Residence,61
2020-07-20T08:40:52.251Z,The Park Residence,61
2020-07-20T08:50:52.174Z,The Park Residence,61
2020-07-20T09:00:51.784Z,The Park Residence,61
2020-07-20T09:10:52.858Z,The Park Residence,64
2020-07-20T09:20:51.812Z,The Park Residence,64
2020-07-20T09:30:51.969Z,The Park Residence,64
2020-07-20T09:40:51.771Z,The Park Residence,64
2020-07-20T09:50:52.084Z,The Park Residence,64
2020-07-20T10:00:51.786Z,The Park Residence,64
2020-07-20T10:10:51.884Z,The Park Residence,64
2020-07-20T10:20:51.815Z,The Park Residence,64
2020-07-20T10:30:51.986Z,The Park Residence,64
2020-07-20T10:40:51.786Z,The Park Residence,64
2020-07-20T10:50:51.875Z,The Park Residence,64
2020-07-20T11:00:51.879Z,The Park Residence,64
2020-07-20T11:10:52.076Z,The Park Residence,64
2020-07-20T11:20:51.811Z,The Park Residence,64
2020-07-20T11:30:51.922Z,The Park Residence,64
2020-07-20T11:40:51.777Z,The Park Residence,64
2020-07-20T11:50:52.074Z,The Park Residence,64
2020-07-20T12:00:51.776Z,The Park Residence,64
2020-07-20T12:10:52.135Z,The Park Residence,30
2020-07-20T12:20:51.813Z,The Park Residence,30
2020-07-20T12:30:52.147Z,The Park Residence,30
2020-07-20T12:40:51.774Z,The Park Residence,30
2020-07-20T12:50:52.066Z,The Park Residence,30
2020-07-20T13:00:51.806Z,The Park Residence,30
2020-07-20T13:10:51.931Z,The Park Residence,62
2020-07-20T13:20:51.995Z,The Park Residence,62
2020-07-20T13:30:51.887Z,The Park Residence,62
2020-07-20T13:40:51.845Z,The Park Residence,62
2020-07-20T13:50:52.109Z,The Park Residence,62
2020-07-20T14:00:51.818Z,The Park Residence,62
2020-07-20T14:10:52.093Z,The Park Residence,72
2020-07-20T14:20:51.886Z,The Park Residence,72
2020-07-20T14:30:51.953Z,The Park Residence,72
2020-07-20T14:40:51.786Z,The Park Residence,72
2020-07-20T14:50:52.014Z,The Park Residence,72
2020-07-20T15:00:51.763Z,The Park Residence,72
2020-07-20T15:10:52.407Z,The Park Residence,105
2020-07-20T15:20:51.774Z,The Park Residence,105
2020-07-20T15:30:52.008Z,The Park Residence,105
2020-07-20T15:40:51.757Z,The Park Residence,105
2020-07-20T15:50:52.021Z,The Park Residence,105
2020-07-20T16:00:51.747Z,The Park Residence,105
2020-07-20T16:10:51.922Z,The Park Residence,132
2020-07-20T16:20:51.970Z,The Park Residence,132
2020-07-20T16:30:51.907Z,The Park Residence,132
2020-07-20T16:40:51.782Z,The Park Residence,132
2020-07-20T16:50:52.009Z,The Park Residence,132
