Time,Location,AQI
2020-07-20T08:30:51.922Z,Truong THCS Thanh Da,63
2020-07-20T08:40:52.251Z,Truong THCS Thanh Da,63
2020-07-20T08:50:52.174Z,Truong THCS Thanh Da,63
2020-07-20T09:00:51.784Z,Truong THCS Thanh Da,63
2020-07-20T09:10:52.858Z,Truong THCS Thanh Da,63
2020-07-20T09:20:51.812Z,Truong THCS Thanh Da,63
2020-07-20T09:30:51.969Z,Truong THCS Thanh Da,63
2020-07-20T09:40:51.771Z,Truong THCS Thanh Da,63
2020-07-20T09:50:52.084Z,Truong THCS Thanh Da,63
2020-07-20T10:00:51.786Z,Truong THCS Thanh Da,63
2020-07-20T10:10:51.884Z,Truong THCS Thanh Da,75
2020-07-20T10:20:51.815Z,Truong THCS Thanh Da,75
2020-07-20T10:30:51.986Z,Truong THCS Thanh Da,75
2020-07-20T10:40:51.786Z,Truong THCS Thanh Da,75
2020-07-20T10:50:51.875Z,Truong THCS Thanh Da,75
2020-07-20T11:00:51.879Z,Truong THCS Thanh Da,75
2020-07-20T11:10:52.076Z,Truong THCS Thanh Da,55
2020-07-20T11:20:51.811Z,Truong THCS Thanh Da,55
2020-07-20T11:30:51.922Z,Truong THCS Thanh Da,55
2020-07-20T11:40:51.777Z,Truong THCS Thanh Da,55
2020-07-20T11:50:52.074Z,Truong THCS Thanh Da,55
2020-07-20T12:00:51.776Z,Truong THCS Thanh Da,55
2020-07-20T12:10:52.135Z,Truong THCS Thanh Da,29
2020-07-20T12:20:51.813Z,Truong THCS Thanh Da,29
2020-07-20T12:30:52.147Z,Truong THCS Thanh Da,29
2020-07-20T12:40:51.774Z,Truong THCS Thanh Da,29
2020-07-20T12:50:52.066Z,Truong THCS Thanh Da,29
2020-07-20T13:00:51.806Z,Truong THCS Thanh Da,29
2020-07-20T13:10:51.931Z,Truong THCS Thanh Da,37
2020-07-20T13:20:51.995Z,Truong THCS Thanh Da,37
2020-07-20T13:30:51.887Z,Truong THCS Thanh Da,37
2020-07-20T13:40:51.845Z,Truong THCS Thanh Da,37
2020-07-20T13:50:52.109Z,Truong THCS Thanh Da,37
2020-07-20T14:00:51.818Z,Truong THCS Thanh Da,37
2020-07-20T14:10:52.093Z,Truong THCS Thanh Da,152
2020-07-20T14:20:51.886Z,Truong THCS Thanh Da,152
2020-07-20T14:30:51.953Z,Truong THCS Thanh Da,152
2020-07-20T14:40:51.786Z,Truong THCS Thanh Da,152
2020-07-20T14:50:52.014Z,Truong THCS Thanh Da,152
2020-07-20T15:00:51.763Z,Truong THCS Thanh Da,152
2020-07-20T15:10:52.407Z,Truong THCS Thanh Da,161
2020-07-20T15:20:51.774Z,Truong THCS Thanh Da,161
2020-07-20T15:30:52.008Z,Truong THCS Thanh Da,161
2020-07-20T15:40:51.757Z,Truong THCS Thanh Da,161
2020-07-20T15:50:52.021Z,Truong THCS Thanh Da,161
2020-07-20T16:00:51.747Z,Truong THCS Thanh Da,161
2020-07-20T16:10:51.922Z,Truong THCS Thanh Da,156
2020-07-20T16:20:51.970Z,Truong THCS Thanh Da,156
2020-07-20T16:30:51.907Z,Truong THCS Thanh Da,156
2020-07-20T16:40:51.782Z,Truong THCS Thanh Da,156
2020-07-20T16:50:52.009Z,Truong THCS Thanh Da,156
