Time,Location,AQI
2020-07-20T08:30:51.922Z,US Consulate in Ho Chi Minh City,88
2020-07-20T08:40:52.251Z,US Consulate in Ho Chi Minh City,88
2020-07-20T08:50:52.174Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:00:51.784Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:10:52.858Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:20:51.812Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:30:51.969Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:40:51.771Z,US Consulate in Ho Chi Minh City,68
2020-07-20T09:50:52.084Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:00:51.786Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:10:51.884Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:20:51.815Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:30:51.986Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:40:51.786Z,US Consulate in Ho Chi Minh City,78
2020-07-20T10:50:51.875Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:00:51.879Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:10:52.076Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:20:51.811Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:30:51.922Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:40:51.777Z,US Consulate in Ho Chi Minh City,76
2020-07-20T11:50:52.074Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:00:51.776Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:10:52.135Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:20:51.813Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:30:52.147Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:40:51.774Z,US Consulate in Ho Chi Minh City,41
2020-07-20T12:50:52.066Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:00:51.806Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:10:51.931Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:20:51.995Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:30:51.887Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:40:51.845Z,US Consulate in Ho Chi Minh City,41
2020-07-20T13:50:52.109Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:00:51.818Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:10:52.093Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:20:51.886Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:30:51.953Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:40:51.786Z,US Consulate in Ho Chi Minh City,80
2020-07-20T14:50:52.014Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:00:51.763Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:10:52.407Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:20:51.774Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:30:52.008Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:40:51.757Z,US Consulate in Ho Chi Minh City,68
2020-07-20T15:50:52.021Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:00:51.747Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:10:51.922Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:20:51.970Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:30:51.907Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:40:51.782Z,US Consulate in Ho Chi Minh City,124
2020-07-20T16:50:52.009Z,US Consulate in Ho Chi Minh City,139
