Time,Location,AQI
2020-07-20T08:30:51.922Z,VSTARSCHOOL,63
2020-07-20T08:40:52.251Z,VSTARSCHOOL,63
2020-07-20T08:50:52.174Z,VSTARSCHOOL,63
2020-07-20T09:00:51.784Z,VSTARSCHOOL,63
2020-07-20T09:10:52.858Z,VSTARSCHOOL,71
2020-07-20T09:20:51.812Z,VSTARSCHOOL,71
2020-07-20T09:30:51.969Z,VSTARSCHOOL,71
2020-07-20T09:40:51.771Z,VSTARSCHOOL,71
2020-07-20T09:50:52.084Z,VSTARSCHOOL,71
2020-07-20T10:00:51.786Z,VSTARSCHOOL,71
2020-07-20T10:10:51.884Z,VSTARSCHOOL,67
2020-07-20T10:20:51.815Z,VSTARSCHOOL,67
2020-07-20T10:30:51.986Z,VSTARSCHOOL,67
2020-07-20T10:40:51.786Z,VSTARSCHOOL,67
2020-07-20T10:50:51.875Z,VSTARSCHOOL,67
2020-07-20T11:00:51.879Z,VSTARSCHOOL,67
2020-07-20T11:10:52.076Z,VSTARSCHOOL,30
2020-07-20T11:20:51.811Z,VSTARSCHOOL,30
2020-07-20T11:30:51.922Z,VSTARSCHOOL,30
2020-07-20T11:40:51.777Z,VSTARSCHOOL,30
2020-07-20T11:50:52.074Z,VSTARSCHOOL,30
2020-07-20T12:00:51.776Z,VSTARSCHOOL,30
2020-07-20T12:10:52.135Z,VSTARSCHOOL,58
2020-07-20T12:20:51.813Z,VSTARSCHOOL,58
2020-07-20T12:30:52.147Z,VSTARSCHOOL,58
2020-07-20T12:40:51.774Z,VSTARSCHOOL,58
2020-07-20T12:50:52.066Z,VSTARSCHOOL,58
2020-07-20T13:00:51.806Z,VSTARSCHOOL,58
2020-07-20T13:10:51.931Z,VSTARSCHOOL,72
2020-07-20T13:20:51.995Z,VSTARSCHOOL,72
2020-07-20T13:30:51.887Z,VSTARSCHOOL,72
2020-07-20T13:40:51.845Z,VSTARSCHOOL,72
2020-07-20T13:50:52.109Z,VSTARSCHOOL,72
2020-07-20T14:00:51.818Z,VSTARSCHOOL,72
2020-07-20T14:10:52.093Z,VSTARSCHOOL,83
2020-07-20T14:20:51.886Z,VSTARSCHOOL,83
2020-07-20T14:30:51.953Z,VSTARSCHOOL,83
2020-07-20T14:40:51.786Z,VSTARSCHOOL,83
2020-07-20T14:50:52.014Z,VSTARSCHOOL,83
2020-07-20T15:00:51.763Z,VSTARSCHOOL,83
2020-07-20T15:10:52.407Z,VSTARSCHOOL,105
2020-07-20T15:20:51.774Z,VSTARSCHOOL,105
2020-07-20T15:30:52.008Z,VSTARSCHOOL,105
2020-07-20T15:40:51.757Z,VSTARSCHOOL,105
2020-07-20T15:50:52.021Z,VSTARSCHOOL,105
2020-07-20T16:00:51.747Z,VSTARSCHOOL,105
2020-07-20T16:10:51.922Z,VSTARSCHOOL,158
2020-07-20T16:20:51.970Z,VSTARSCHOOL,158
2020-07-20T16:30:51.907Z,VSTARSCHOOL,158
2020-07-20T16:40:51.782Z,VSTARSCHOOL,158
2020-07-20T16:50:52.009Z,VSTARSCHOOL,158
