Time,Location,AQI
2020-07-20T08:30:51.922Z,Vinhomes Central Park,57
2020-07-20T08:40:52.251Z,Vinhomes Central Park,57
2020-07-20T08:50:52.174Z,Vinhomes Central Park,57
2020-07-20T09:00:51.784Z,Vinhomes Central Park,57
2020-07-20T09:10:52.858Z,Vinhomes Central Park,53
2020-07-20T09:20:51.812Z,Vinhomes Central Park,53
2020-07-20T09:30:51.969Z,Vinhomes Central Park,53
2020-07-20T09:40:51.771Z,Vinhomes Central Park,53
2020-07-20T09:50:52.084Z,Vinhomes Central Park,53
2020-07-20T10:00:51.786Z,Vinhomes Central Park,53
2020-07-20T10:10:51.884Z,Vinhomes Central Park,61
2020-07-20T10:20:51.815Z,Vinhomes Central Park,61
2020-07-20T10:30:51.986Z,Vinhomes Central Park,61
2020-07-20T10:40:51.786Z,Vinhomes Central Park,61
2020-07-20T10:50:51.875Z,Vinhomes Central Park,61
2020-07-20T11:00:51.879Z,Vinhomes Central Park,61
2020-07-20T11:10:52.076Z,Vinhomes Central Park,55
2020-07-20T11:20:51.811Z,Vinhomes Central Park,55
2020-07-20T11:30:51.922Z,Vinhomes Central Park,55
2020-07-20T11:40:51.777Z,Vinhomes Central Park,55
2020-07-20T11:50:52.074Z,Vinhomes Central Park,55
2020-07-20T12:00:51.776Z,Vinhomes Central Park,55
2020-07-20T12:10:52.135Z,Vinhomes Central Park,29
2020-07-20T12:20:51.813Z,Vinhomes Central Park,29
2020-07-20T12:30:52.147Z,Vinhomes Central Park,29
2020-07-20T12:40:51.774Z,Vinhomes Central Park,29
2020-07-20T12:50:52.066Z,Vinhomes Central Park,29
2020-07-20T13:00:51.806Z,Vinhomes Central Park,29
2020-07-20T13:10:51.931Z,Vinhomes Central Park,37
2020-07-20T13:20:51.995Z,Vinhomes Central Park,37
2020-07-20T13:30:51.887Z,Vinhomes Central Park,37
2020-07-20T13:40:51.845Z,Vinhomes Central Park,37
2020-07-20T13:50:52.109Z,Vinhomes Central Park,37
2020-07-20T14:00:51.818Z,Vinhomes Central Park,37
2020-07-20T14:10:52.093Z,Vinhomes Central Park,61
2020-07-20T14:20:51.886Z,Vinhomes Central Park,61
2020-07-20T14:30:51.953Z,Vinhomes Central Park,61
2020-07-20T14:40:51.786Z,Vinhomes Central Park,61
2020-07-20T14:50:52.014Z,Vinhomes Central Park,61
2020-07-20T15:00:51.763Z,Vinhomes Central Park,61
2020-07-20T15:10:52.407Z,Vinhomes Central Park,120
2020-07-20T15:20:51.774Z,Vinhomes Central Park,120
2020-07-20T15:30:52.008Z,Vinhomes Central Park,120
2020-07-20T15:40:51.757Z,Vinhomes Central Park,120
2020-07-20T15:50:52.021Z,Vinhomes Central Park,120
2020-07-20T16:00:51.747Z,Vinhomes Central Park,120
2020-07-20T16:10:51.922Z,Vinhomes Central Park,155
2020-07-20T16:20:51.970Z,Vinhomes Central Park,155
2020-07-20T16:30:51.907Z,Vinhomes Central Park,155
2020-07-20T16:40:51.782Z,Vinhomes Central Park,155
2020-07-20T16:50:52.009Z,Vinhomes Central Park,155
