Time,Location,AQI
2020-07-20T08:30:51.922Z,Vo Thi Sau High School,80
2020-07-20T08:40:52.251Z,Vo Thi Sau High School,80
2020-07-20T08:50:52.174Z,Vo Thi Sau High School,80
2020-07-20T09:00:51.784Z,Vo Thi Sau High School,80
2020-07-20T09:10:52.858Z,Vo Thi Sau High School,80
2020-07-20T09:20:51.812Z,Vo Thi Sau High School,80
2020-07-20T09:30:51.969Z,Vo Thi Sau High School,80
2020-07-20T09:40:51.771Z,Vo Thi Sau High School,80
2020-07-20T09:50:52.084Z,Vo Thi Sau High School,80
2020-07-20T10:00:51.786Z,Vo Thi Sau High School,80
2020-07-20T10:10:51.884Z,Vo Thi Sau High School,98
2020-07-20T10:20:51.815Z,Vo Thi Sau High School,98
2020-07-20T10:30:51.986Z,Vo Thi Sau High School,98
2020-07-20T10:40:51.786Z,Vo Thi Sau High School,98
2020-07-20T10:50:51.875Z,Vo Thi Sau High School,98
2020-07-20T11:00:51.879Z,Vo Thi Sau High School,98
2020-07-20T11:10:52.076Z,Vo Thi Sau High School,53
2020-07-20T11:20:51.811Z,Vo Thi Sau High School,53
2020-07-20T11:30:51.922Z,Vo Thi Sau High School,53
2020-07-20T11:40:51.777Z,Vo Thi Sau High School,53
2020-07-20T11:50:52.074Z,Vo Thi Sau High School,53
2020-07-20T12:00:51.776Z,Vo Thi Sau High School,53
2020-07-20T12:10:52.135Z,Vo Thi Sau High School,45
2020-07-20T12:20:51.813Z,Vo Thi Sau High School,45
2020-07-20T12:30:52.147Z,Vo Thi Sau High School,45
2020-07-20T12:40:51.774Z,Vo Thi Sau High School,45
2020-07-20T12:50:52.066Z,Vo Thi Sau High School,45
2020-07-20T13:00:51.806Z,Vo Thi Sau High School,45
2020-07-20T13:10:51.931Z,Vo Thi Sau High School,80
2020-07-20T13:20:51.995Z,Vo Thi Sau High School,80
2020-07-20T13:30:51.887Z,Vo Thi Sau High School,80
2020-07-20T13:40:51.845Z,Vo Thi Sau High School,80
2020-07-20T13:50:52.109Z,Vo Thi Sau High School,80
2020-07-20T14:00:51.818Z,Vo Thi Sau High School,80
2020-07-20T14:10:52.093Z,Vo Thi Sau High School,120
2020-07-20T14:20:51.886Z,Vo Thi Sau High School,120
2020-07-20T14:30:51.953Z,Vo Thi Sau High School,120
2020-07-20T14:40:51.786Z,Vo Thi Sau High School,120
2020-07-20T14:50:52.014Z,Vo Thi Sau High School,120
2020-07-20T15:00:51.763Z,Vo Thi Sau High School,120
2020-07-20T15:10:52.407Z,Vo Thi Sau High School,161
2020-07-20T15:20:51.774Z,Vo Thi Sau High School,161
2020-07-20T15:30:52.008Z,Vo Thi Sau High School,161
2020-07-20T15:40:51.757Z,Vo Thi Sau High School,161
2020-07-20T15:50:52.021Z,Vo Thi Sau High School,161
2020-07-20T16:00:51.747Z,Vo Thi Sau High School,161
2020-07-20T16:10:51.922Z,Vo Thi Sau High School,159
2020-07-20T16:20:51.970Z,Vo Thi Sau High School,159
2020-07-20T16:30:51.907Z,Vo Thi Sau High School,159
2020-07-20T16:40:51.782Z,Vo Thi Sau High School,159
2020-07-20T16:50:52.009Z,Vo Thi Sau High School,159
